link_id,from_id,to_id,from,to,mode,distance_km,cost,emission,data_sources
L28,C1,C15,Albert Park (Melbourne-Australia),Circuit Zandvoort (Netherlands),Sea,16572.6,16572.6,12429.45,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L29,C1,C16,Albert Park (Melbourne-Australia),Autodromo Nazionale Monza (Italy),Air,16288.1,977286.0,488643.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L30,C1,C16,Albert Park (Melbourne-Australia),Autodromo Nazionale Monza (Italy),Sea,16288.1,16288.1,12216.07,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L31,C1,C17,Albert Park (Melbourne-Australia),Circuit of The Americas (Austin-USA),Air,14286.2,857172.0,428586.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L32,C1,C17,Albert Park (Melbourne-Australia),Circuit of The Americas (Austin-USA),Sea,14286.2,14286.2,10714.65,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L33,C1,C18,Albert Park (Melbourne-Australia),Autodromo Hermanos Rodriguez (Mexico City-Mexico),Air,13563.8,813828.0,406914.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L34,C1,C18,Albert Park (Melbourne-Australia),Autodromo Hermanos Rodriguez (Mexico City-Mexico),Sea,13563.8,13563.8,10172.85,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L35,C1,C19,Albert Park (Melbourne-Australia),Autodromo Jose Carlos Pace (Interlagos-Sao Paulo),Air,13062.9,783774.0,391887.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L36,C1,C19,Albert Park (Melbourne-Australia),Autodromo Jose Carlos Pace (Interlagos-Sao Paulo),Sea,13062.9,13062.9,9797.17,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L37,C1,C20,Albert Park (Melbourne-Australia),Las Vegas Street Circuit (USA),Air,13130.8,787848.0,393924.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L38,C1,C20,Albert Park (Melbourne-Australia),Las Vegas Street Circuit (USA),Sea,13130.8,13130.8,9848.1,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L39,C1,C21,Albert Park (Melbourne-Australia),Marina Bay Street Circuit (Singapore),Air,6058.1,363486.0,181743.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L40,C1,C21,Albert Park (Melbourne-Australia),Marina Bay Street Circuit (Singapore),Sea,6058.1,6058.1,4543.57,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L41,C1,C22,Albert Park (Melbourne-Australia),Yas Marina Circuit (Abu Dhabi-UAE),Air,11674.7,700482.0,350241.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L42,C1,C22,Albert Park (Melbourne-Australia),Yas Marina Circuit (Abu Dhabi-UAE),Sea,11674.7,11674.7,8756.02,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L43,C1,C23,Albert Park (Melbourne-Australia),Lusail International Circuit (Qatar),Air,11992.8,719568.0,359784.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L44,C1,C23,Albert Park (Melbourne-Australia),Lusail International Circuit (Qatar),Sea,11992.8,11992.8,8994.6,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L45,C1,C24,Albert Park (Melbourne-Australia),Baku City Circuit (Azerbaijan),Air,12989.1,779346.0,389673.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L46,C1,C24,Albert Park (Melbourne-Australia),Baku City Circuit (Azerbaijan),Sea,12989.1,12989.1,9741.82,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L47,C2,C1,Shanghai International Circuit (China),Albert Park (Melbourne-Australia),Air,8078.5,484710.0,242355.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L48,C2,C1,Shanghai International Circuit (China),Albert Park (Melbourne-Australia),Sea,8078.5,8078.5,6058.88,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L49,C2,C3,Shanghai International Circuit (China),Suzuka Circuit (Japan),Air,1477.9,88674.0,44337.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L50,C2,C3,Shanghai International Circuit (China),Suzuka Circuit (Japan),Road,1477.9,8867.4,5911.6,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L51,C2,C3,Shanghai International Circuit (China),Suzuka Circuit (Japan),Sea,1477.9,1477.9,1108.42,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L52,C2,C4,Shanghai International Circuit (China),Bahrain International Circuit (Sakhir),Air,6804.8,408288.0,204144.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L53,C2,C4,Shanghai International Circuit (China),Bahrain International Circuit (Sakhir),Road,6804.8,40828.8,27219.2,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L54,C2,C4,Shanghai International Circuit (China),Bahrain International Circuit (Sakhir),Sea,6804.8,6804.8,5103.6,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L55,C2,C5,Shanghai International Circuit (China),Jeddah Corniche Circuit (Saudi Arabia),Air,8062.1,483726.0,241863.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L56,C2,C5,Shanghai International Circuit (China),Jeddah Corniche Circuit (Saudi Arabia),Road,8062.1,48372.6,32248.4,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L57,C2,C5,Shanghai International Circuit (China),Jeddah Corniche Circuit (Saudi Arabia),Sea,8062.1,8062.1,6046.57,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L58,C2,C6,Shanghai International Circuit (China),Miami International Autodrome (USA),Air,13248.5,794910.0,397455.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L59,C2,C6,Shanghai International Circuit (China),Miami International Autodrome (USA),Sea,13248.5,13248.5,9936.38,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L60,C2,C7,Shanghai International Circuit (China),Imola (Autodromo Enzo e Dino Ferrari),Air,8986.4,539184.0,269592.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L61,C2,C7,Shanghai International Circuit (China),Imola (Autodromo Enzo e Dino Ferrari),Sea,8986.4,8986.4,6739.8,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L62,C2,C8,Shanghai International Circuit (China),Circuit de Monaco (Monaco),Air,9302.0,558120.0,279060.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L63,C2,C8,Shanghai International Circuit (China),Circuit de Monaco (Monaco),Sea,9302.0,9302.0,6976.5,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L64,C2,C9,Shanghai International Circuit (China),Circuit de Barcelona-Catalunya (Spain),Air,9779.9,586794.0,293397.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L65,C2,C9,Shanghai International Circuit (China),Circuit de Barcelona-Catalunya (Spain),Sea,9779.9,9779.9,7334.93,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L66,C2,C10,Shanghai International Circuit (China),Circuit Gilles Villeneuve (Montreal-Canada),Air,11342.7,680562.0,340281.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L67,C2,C10,Shanghai International Circuit (China),Circuit Gilles Villeneuve (Montreal-Canada),Sea,11342.7,11342.7,8507.02,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L68,C2,C11,Shanghai International Circuit (China),Red Bull Ring (Spielberg-Austria),Air,8611.3,516678.0,258339.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L69,C2,C11,Shanghai International Circuit (China),Red Bull Ring (Spielberg-Austria),Sea,8611.3,8611.3,6458.47,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L70,C2,C12,Shanghai International Circuit (China),Silverstone Circuit (UK),Air,9175.2,550512.0,275256.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L71,C2,C12,Shanghai International Circuit (China),Silverstone Circuit (UK),Sea,9175.2,9175.2,6881.4,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L72,C2,C13,Shanghai International Circuit (China),Spa-Francorchamps (Belgium),Air,8926.2,535572.0,267786.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L73,C2,C13,Shanghai International Circuit (China),Spa-Francorchamps (Belgium),Sea,8926.2,8926.2,6694.65,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L74,C2,C14,Shanghai International Circuit (China),Hungaroring (Budapest-Hungary),Air,8302.6,498156.0,249078.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L75,C2,C14,Shanghai International Circuit (China),Hungaroring (Budapest-Hungary),Sea,8302.6,8302.6,6226.95,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L76,C2,C15,Shanghai International Circuit (China),Circuit Zandvoort (Netherlands),Air,8867.7,532062.0,266031.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L77,C2,C15,Shanghai International Circuit (China),Circuit Zandvoort (Netherlands),Sea,8867.7,8867.7,6650.78,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L78,C2,C16,Shanghai International Circuit (China),Autodromo Nazionale Monza (Italy),Air,9058.0,543480.0,271740.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L79,C2,C16,Shanghai International Circuit (China),Autodromo Nazionale Monza (Italy),Sea,9058.0,9058.0,6793.5,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L80,C2,C17,Shanghai International Circuit (China),Circuit of The Americas (Austin-USA),Air,12043.2,722592.0,361296.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
